ID,region,ownd,kids,inc,sex,wlth,hv,incmed,incavg,low,npro,gifdol,gifl,gifr,mdon,lag,gifa,donr,damt
1,ter3,1,1,4,1,8,302,76,82,0,20,81,81,19,17,6,21.05,0,0
2,ter3,1,2,4,0,8,262,130,130,1,95,156,16,17,19,3,13.26,1,15
5,ter3,1,0,4,1,4,295,39,71,14,85,132,15,10,10,6,12.07,1,17
6,ter2,1,1,5,0,9,114,17,25,44,83,131,5,3,13,4,4.12,1,12
7,ter5,1,3,4,0,8,145,39,42,10,50,74,6,5,22,3,6.5,0,0
8,ter5,1,3,2,0,5,165,34,35,19,11,41,4,2,20,7,3.45,0,0
10,ter5,1,3,4,1,7,200,38,58,5,42,63,12,10,19,3,9.42,0,0
11,ter3,1,3,2,1,8,152,46,46,20,100,414,25,14,39,7,10.12,0,0
12,ter4,1,3,4,1,6,272,69,69,0,98,169,29,36,23,7,8.97,1,17
13,ter2,1,0,4,0,9,207,54,54,14,13,34,9,7,19,11,6.28,1,12
14,ter4,1,0,4,0,8,108,21,36,32,54,117,5,4,15,9,5.11,1,15
15,ter3,1,0,5,1,8,196,57,82,1,16,71,36,20,22,8,13.44,1,18
17,ter1,1,1,4,0,9,138,19,41,25,92,201,12,10,8,7,11.15,1,13
18,ter2,1,0,4,0,9,200,44,48,5,58,61,23,13,15,4,12.84,1,14
19,ter1,1,0,4,1,1,278,79,83,0,87,89,29,16,16,6,8.14,1,12
21,ter3,1,0,4,1,9,158,26,33,16,78,117,21,6,19,8,8.68,1,15
24,ter4,1,4,6,1,5,141,32,37,21,65,79,5,5,21,6,3.69,0,0
25,ter2,1,2,4,0,6,142,19,40,21,39,94,12,13,19,3,6.94,1,14
26,ter5,1,2,3,1,1,224,55,66,6,134,437,14,14,19,8,9.37,0,0
30,ter1,1,1,5,1,9,282,69,87,0,62,70,16,11,22,10,11.61,1,18
32,ter1,1,2,4,1,6,213,70,70,6,59,104,17,11,20,9,12.84,1,15
33,ter3,0,1,4,0,2,128,29,35,15,69,78,60,47,18,4,23.81,0,0
34,ter2,1,2,5,0,8,263,40,67,4,76,105,24,21,13,10,19.43,0,0
35,ter1,1,2,7,0,7,119,23,57,19,39,74,12,13,18,10,11.77,0,0
38,ter1,1,1,4,0,9,204,79,79,2,59,94,9,8,13,3,5.2,1,13
39,ter3,0,0,2,1,9,61,4,18,73,25,69,15,9,14,10,6.85,0,0
40,ter2,1,2,3,1,2,93,29,31,18,94,136,9,4,38,7,5.19,0,0
42,ter1,1,3,5,0,9,174,40,47,11,68,99,16,8,17,10,10.5,0,0
43,ter3,1,1,4,1,7,179,59,59,3,73,146,12,4,17,6,10.44,1,15
44,ter2,1,0,3,1,6,284,43,82,4,14,40,14,7,12,5,9.8,1,15
45,ter3,0,3,5,1,0,209,66,66,6,62,149,68,20,15,7,23.31,0,0
46,ter1,1,2,4,1,3,163,36,44,9,50,74,9,5,16,11,6.3,0,0
48,ter5,1,1,4,0,8,124,20,43,26,43,75,17,13,28,6,14.51,0,0
51,ter5,1,0,7,0,8,324,75,78,0,90,177,6,7,21,5,8.04,1,14
52,ter2,1,2,3,0,9,167,73,73,2,34,63,10,6,20,5,8.77,1,11
53,ter2,1,3,4,1,9,94,30,30,28,72,133,52,41,16,6,14.39,1,14
54,ter2,1,4,4,1,9,231,55,58,3,66,112,20,16,15,6,19.18,1,13
55,ter4,1,0,4,1,8,158,38,38,22,55,80,20,20,14,3,10.22,1,16
56,ter5,1,2,5,1,6,427,78,114,0,78,131,9,4,24,6,6.13,1,13
57,ter1,1,1,4,1,7,124,41,41,12,24,56,53,56,13,4,22.5,1,17
58,ter5,1,3,4,1,8,172,34,55,15,62,73,24,21,19,7,12.32,0,0
59,ter4,1,3,1,1,5,167,55,57,3,46,81,44,32,23,20,15.34,0,0
60,ter4,1,2,7,1,0,172,33,54,20,22,47,15,12,14,5,11.22,0,0
61,ter1,1,2,7,0,8,81,14,26,41,89,103,5,6,12,16,3.54,0,0
62,ter5,1,2,2,0,9,82,16,22,46,32,62,31,31,18,5,25.23,0,0
65,ter3,1,2,4,1,9,281,38,64,3,96,305,53,17,17,7,22.13,1,15
66,ter1,1,4,1,0,8,179,41,54,10,58,75,28,30,15,4,20.02,0,0
67,ter4,1,3,2,0,2,149,18,32,36,83,115,11,14,23,4,10.82,0,0
68,ter1,1,0,4,0,8,266,42,78,4,7,162,162,30,13,8,16.8,1,17
69,ter2,1,0,5,1,9,109,27,30,21,112,299,5,5,16,7,5.25,1,12
70,ter2,1,0,1,0,6,404,112,112,0,19,38,12,13,16,3,9.23,1,13
71,ter5,1,0,4,1,9,105,29,34,30,39,52,25,26,13,6,17.01,1,16
73,ter2,1,2,4,1,8,216,23,64,26,79,132,19,14,13,6,13.42,1,15
75,ter3,1,4,4,0,8,87,26,33,16,43,68,13,7,31,13,6.97,0,0
76,ter1,1,0,4,0,9,118,32,34,22,109,111,15,13,16,11,7.29,1,15
79,ter3,1,2,2,0,8,187,41,49,11,77,125,18,10,15,4,7,0,0
81,ter2,1,2,5,0,9,179,41,54,2,84,197,6,4,17,7,6.37,1,14
83,ter1,1,2,4,0,9,193,60,64,2,20,53,25,20,18,5,16.08,0,0
84,ter1,1,3,7,1,6,148,35,38,22,84,113,15,18,21,7,12.38,0,0
87,ter3,1,2,2,1,8,106,34,34,13,92,152,97,48,22,6,24.96,0,0
88,ter5,1,3,2,0,9,109,20,29,23,62,109,15,8,15,9,14,0,0
89,ter2,1,2,7,0,9,246,39,60,9,46,66,14,11,23,5,9.67,0,0
90,ter5,1,1,4,1,8,100,21,24,30,79,130,13,17,15,13,8.58,0,0
91,ter3,1,2,2,1,8,113,21,55,17,40,63,15,12,22,6,15.79,0,0
92,ter4,1,2,5,1,8,194,58,60,2,73,126,22,14,28,4,10.98,0,0
93,ter2,1,0,4,1,6,145,61,61,6,68,107,24,28,8,6,17.15,1,17
95,ter2,1,0,2,0,9,218,54,57,21,44,62,28,17,20,9,14.94,1,16
96,ter5,1,3,5,0,9,223,62,66,10,78,156,15,16,23,8,7.93,0,0
97,ter2,0,2,1,0,8,137,46,46,12,17,45,23,15,20,12,11.27,0,0
98,ter1,1,0,4,1,8,144,39,56,14,46,103,6,5,21,10,5.23,1,12
99,ter2,1,2,4,1,9,244,55,93,3,41,67,13,8,21,7,10.26,1,13
100,ter1,0,0,4,1,8,284,73,73,1,117,281,14,20,13,6,8.94,1,15
101,ter3,0,2,4,0,6,145,33,42,10,33,61,9,6,20,13,4.57,0,0
106,ter1,1,3,6,1,9,122,23,40,18,49,96,32,17,18,5,14.02,0,0
108,ter2,1,4,4,1,3,141,42,44,7,44,72,25,8,18,3,24.65,0,0
109,ter2,0,2,4,0,8,177,23,66,23,67,111,26,24,14,15,22.2,0,0
110,ter2,1,5,1,0,3,129,27,36,21,61,104,4,7,38,5,5.8,0,0
112,ter2,1,2,4,0,8,214,48,78,6,55,112,5,5,28,22,3.34,0,0
113,ter2,1,4,2,0,7,221,118,118,1,117,424,11,9,20,3,12.73,1,13
114,ter4,1,0,5,1,9,117,17,34,37,26,57,5,5,13,4,4.88,1,16
115,ter2,1,3,4,0,8,148,20,48,23,45,77,4,6,17,4,4.58,0,0
116,ter1,1,3,5,1,6,139,45,45,10,21,60,7,7,24,4,5.24,1,13
117,ter1,1,5,4,1,9,107,11,29,55,87,160,21,21,23,12,12.95,0,0
118,ter2,1,2,4,1,9,201,42,43,6,15,72,72,32,19,4,25.69,0,0
119,ter2,1,2,4,1,8,225,59,94,2,47,103,30,19,22,6,13.4,1,14
120,ter4,1,0,2,0,8,159,68,68,12,92,119,12,6,13,5,5.93,1,14
121,ter1,1,0,5,1,9,208,64,64,1,45,66,4,3,19,7,3.9,1,12
122,ter5,1,0,3,1,4,173,25,46,12,52,88,9,11,22,4,4.73,1,12
124,ter4,1,5,6,0,1,186,43,72,12,40,56,34,16,19,7,19.3,0,0
126,ter5,1,0,4,1,9,169,38,49,12,53,56,8,8,12,8,6.85,1,13
127,ter2,1,0,4,1,8,105,31,37,11,36,69,6,5,14,8,4.69,1,13
128,ter5,0,2,2,1,9,243,54,66,1,33,57,7,8,21,9,7.06,0,0
129,ter3,1,0,4,1,8,92,21,30,45,23,43,11,8,19,6,10.46,1,15
130,ter1,0,3,4,0,3,224,26,63,16,31,46,30,14,13,12,16.69,0,0
131,ter3,1,3,1,1,9,200,47,47,9,38,70,14,13,21,17,16.88,0,0
133,ter3,1,2,2,0,2,192,37,53,16,10,34,4,3,22,13,6.86,0,0
134,ter5,1,0,7,0,5,243,50,64,5,41,65,13,12,12,8,8.72,0,0
135,ter4,0,2,6,1,8,200,42,61,16,24,40,5,9,22,5,6.32,0,0
136,ter2,1,4,4,1,8,123,30,42,19,7,36,26,8,12,5,10.22,0,0
137,ter5,1,0,4,0,9,173,36,40,28,81,96,10,6,19,3,7.76,1,15
138,ter3,0,3,6,0,8,184,61,61,9,48,75,52,30,19,6,19.04,0,0
139,ter4,1,5,4,1,4,132,18,27,37,14,54,54,34,23,4,30.3,0,0
140,ter3,1,5,5,0,9,170,71,71,7,88,82,5,3,34,7,5.44,0,0
142,ter1,1,0,6,0,4,137,23,30,23,36,82,43,25,17,3,19.25,1,16
143,ter2,1,1,5,1,4,130,45,45,9,118,256,25,26,24,6,18.27,1,15
147,ter4,1,2,3,1,8,165,48,65,16,35,70,19,9,15,8,7.67,0,0
148,ter5,1,4,5,1,8,152,43,44,20,45,83,13,14,14,6,8.72,0,0
149,ter4,1,3,2,1,6,131,34,41,10,112,188,21,16,18,10,7.35,0,0
151,ter5,1,0,4,1,9,237,42,80,7,37,65,21,16,17,7,12.14,1,14
152,ter5,1,0,3,0,8,149,29,34,18,81,157,19,20,13,3,14.73,1,16
153,ter2,1,5,4,0,6,146,68,68,3,36,58,19,18,17,4,7.76,0,0
154,ter2,1,0,2,0,8,286,62,78,2,63,95,17,17,18,2,17.62,1,14
155,ter3,0,0,4,1,5,102,17,32,45,43,76,16,7,22,7,10.1,0,0
157,ter5,1,2,6,1,8,368,117,142,0,68,135,19,17,16,10,13.67,0,0
159,ter5,1,2,6,1,9,152,22,49,28,96,171,8,5,31,5,8.4,0,0
161,ter3,1,1,6,1,8,125,26,35,17,69,98,33,23,14,7,10.48,0,0
162,ter5,1,0,4,0,4,136,55,55,1,61,112,95,45,15,7,25.48,1,18
163,ter1,1,5,2,1,8,140,27,42,11,33,71,19,25,14,10,15.13,0,0
164,ter5,1,0,5,1,8,277,110,110,0,105,162,4,4,19,3,7.35,1,13
165,ter2,1,4,4,1,9,182,42,53,7,120,200,16,17,14,10,10.16,1,13
167,ter5,0,3,4,1,8,159,43,53,3,48,76,14,14,19,3,13.45,0,0
168,ter5,1,0,4,1,9,150,50,55,8,65,127,13,6,19,5,8.14,1,14
169,ter2,1,3,4,0,4,164,32,53,20,12,45,8,4,16,19,8.27,0,0
170,ter1,1,1,3,0,8,210,57,72,1,109,127,18,19,18,9,18.04,0,0
172,ter4,1,2,4,1,8,233,149,149,0,130,162,17,17,18,9,14.63,1,16
